source,iteration,slot,role,minutes,utc,status,regime,time_basis
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-000/window-phase-000240-primary.json,240,0,Primary,1.215497211116599,2026-09-10T14:04:34.560338+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-phase-000921-primary.json,921,0,Primary,1.1663157638841464,2026-09-10T14:04:36.349753+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-000/window-phase-000241-primary.json,241,0,Primary,0.4063530729171665,2026-09-10T14:09:50.460083+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-phase-000922-primary.json,922,0,Primary,0.4680475833340703,2026-09-10T14:09:54.594953+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-000/window-phase-000242-primary.json,242,0,Primary,0.39885295765125195,2026-09-10T14:15:07.612744+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-phase-000923-primary.json,923,0,Primary,0.4011922492994927,2026-09-10T14:15:09.779446+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-000/window-phase-000243-primary.json,243,0,Primary,0.8919747069322814,2026-09-10T14:20:55.758437+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-phase-000924-primary.json,924,0,Primary,0.9079771389001204,2026-09-10T14:20:57.818196+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-000/window-phase-000244-primary.json,244,0,Primary,0.5759487374996145,2026-09-10T14:26:25.256819+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-phase-000925-primary.json,925,0,Primary,0.6253831569338217,2026-09-10T14:26:28.285914+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-000/window-phase-000245-primary.json,245,0,Primary,1.131489635418014,2026-09-10T14:32:28.438260+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-phase-000926-primary.json,926,0,Primary,5.0,2026-09-10T14:36:23.091299+00:00,censored,sequential,phase_file_mtime_anchor_proxy
